City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Erenhot,CN,72.88,few clouds,43.65,111.98,Erenhot Rurouni Youth Hostel
592,Kutahya,TR,66.2,clear sky,39.42,29.98,Grand Çınar Hotel
594,Piedade,BR,71.01,clear sky,-23.71,-47.43,Fênix Hotel
596,Cururupu,BR,74.44,clear sky,-1.83,-44.87,Pousada Través'cia
597,Gilbues,BR,70.05,overcast clouds,-9.83,-45.34,Hotel Camapuã
598,Woodward,US,71.01,clear sky,36.43,-99.39,Holiday Inn Express & Suites Woodward Hwy 270
599,Olga,RU,74.66,clear sky,43.74,135.29,Gostinitsa Rosmorport.
602,Sungaipenuh,ID,73.96,broken clouds,-2.08,101.38,Hotel Jaya Wisata 2
604,Cananea,MX,72.0,few clouds,30.95,-110.3,Casas Montoya
606,Nauta,PE,73.63,broken clouds,-4.51,-73.58,Amazon Exploring Expedition - Eretzen Tá Lodge
607,Uruacu,BR,66.49,clear sky,-14.52,-49.14,Super Pesca iscas vivas
611,Diamantino,BR,72.25,clear sky,-14.41,-56.45,Hotel Delta
626,Bagdarin,RU,66.43,overcast clouds,54.43,113.6,Gostevoy Dom Terem
628,Lagoa,PT,73.78,overcast clouds,39.05,-27.98,Casa Das Faias
630,Carauari,BR,74.5,broken clouds,-4.88,-66.9,Pousada Lobo
633,Benguela,AO,69.64,broken clouds,-12.58,13.41,Hotel Praia Morena
637,Vaitape,PF,78.58,light rain,-16.52,-151.75,Conrad Bora Bora Nui
640,Tautira,PF,78.8,few clouds,-17.73,-149.15,Pension Oaoa
643,Makhinjauri,GE,77.0,clear sky,41.67,41.69,Batumi World Palace Hotel
656,Zorritos,PE,67.93,broken clouds,-3.68,-80.68,COSTA AZUL ZORRITOS MANGO
657,Sal Rei,CV,78.8,scattered clouds,16.18,-22.92,Marine Club Beach Resort
658,Yorosso,ML,71.19,overcast clouds,12.35,-4.78,Maison d'arrêt et de correction de Yoro
659,Senanga,ZM,69.75,clear sky,-16.12,23.27,Christopher Nasilele House
660,Belmonte,BR,66.2,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
668,Moranbah,AU,76.87,broken clouds,-22.0,148.05,Direct Hotels - Monterey Moranbah
669,Menongue,AO,65.32,clear sky,-14.66,17.69,Ritz Lauca
676,Los Llanos De Aridane,ES,71.6,few clouds,28.66,-17.92,Valle Aridane
677,Honiara,SB,75.2,light rain,-9.43,159.95,Heritage Park Hotel
678,Itarema,BR,76.96,clear sky,-2.92,-39.92,Windvillage
682,Segou,ML,75.42,overcast clouds,13.43,-6.22,Comme chez soi
685,Saint-Joseph,RE,71.01,broken clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
687,Asaba,NG,74.28,light rain,6.2,6.73,Crimson Suite Hotels
