City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Tateyama,JP,34.98,139.87,91.99,75,20,17.22,few clouds
169,Mangai,CD,-4.05,19.53,76.57,72,62,1.66,broken clouds
170,Aldama,MX,22.92,-98.07,82.0,95,30,2.57,scattered clouds
171,Mizan Teferi,ET,6.98,35.58,64.83,82,99,1.81,overcast clouds
172,Hambantota,LK,6.12,81.12,91.4,59,75,8.05,broken clouds
173,Muli,MV,2.92,73.57,83.01,77,8,19.28,clear sky
174,Balagansk,RU,54.01,103.05,70.27,51,14,6.62,few clouds
175,Tarauaca,BR,-8.16,-70.77,71.96,91,66,0.87,broken clouds
176,Mareeba,AU,-17.0,145.43,79.0,63,19,10.0,few clouds
177,Grand Gaube,MU,-20.01,57.66,75.0,52,1,5.99,clear sky
178,Lanigan,CA,51.85,-105.03,53.35,68,69,7.65,light rain
179,Ancud,CL,-41.87,-73.82,42.01,91,38,1.81,scattered clouds
180,Funadhoo,MV,6.15,73.27,82.08,80,100,17.56,overcast clouds
181,San Vicente,AR,-26.62,-54.13,49.78,100,29,2.66,scattered clouds
182,Ilulissat,GL,69.22,-51.1,32.0,78,74,3.36,broken clouds
183,Belyy Yar,RU,53.6,91.39,71.6,60,100,4.47,overcast clouds
184,Channel-Port Aux Basques,CA,47.57,-59.14,62.87,93,100,17.47,overcast clouds
185,Ndele,CF,8.41,20.65,72.43,96,98,1.43,overcast clouds
186,Sainte-Suzanne,RE,-20.91,55.61,78.8,50,40,4.7,scattered clouds
187,Ahipara,NZ,-35.17,173.17,52.65,70,8,7.2,clear sky
188,Clyde River,CA,70.47,-68.59,37.4,100,90,4.7,overcast clouds
189,Banfora,BF,10.63,-4.77,71.24,95,94,3.44,overcast clouds
190,Santa Rosa,PH,14.31,121.11,93.0,59,41,12.75,scattered clouds
191,Tokur,RU,53.13,132.9,68.79,79,51,4.16,moderate rain
192,Nieuw Amsterdam,SR,5.88,-55.08,80.01,90,3,3.0,clear sky
193,Boende,CD,-0.22,20.87,76.12,78,67,0.94,broken clouds
194,Alofi,NU,-19.06,-169.92,73.4,94,45,10.29,light rain
195,Meulaboh,ID,4.14,96.13,84.76,68,60,3.96,broken clouds
196,Kruisfontein,ZA,-34.0,24.73,61.36,43,56,10.8,broken clouds
197,Victor Harbor,AU,-35.57,138.62,63.0,69,39,1.01,scattered clouds
198,Soyo,AO,-6.13,12.37,73.4,88,75,6.93,broken clouds
199,Capao Bonito,BR,-24.01,-48.35,62.38,69,0,0.56,clear sky
200,Havelock,US,34.88,-76.9,84.0,78,1,8.05,clear sky
201,Loandjili,CG,-4.76,11.86,73.62,86,100,7.0,overcast clouds
202,Mormugao,IN,15.4,73.8,83.14,76,100,6.29,overcast clouds
203,Zaysan,KZ,47.47,84.87,78.24,31,51,20.22,broken clouds
204,Predivinsk,RU,57.07,93.44,69.06,71,99,3.51,light rain
205,Palembang,ID,-2.92,104.75,89.6,59,40,6.93,scattered clouds
206,Almeirim,BR,-1.52,-52.58,74.25,82,16,3.85,few clouds
207,Koslan,RU,63.46,48.9,58.41,58,2,4.97,clear sky
208,Kapaa,US,22.08,-159.32,80.6,69,20,10.29,few clouds
209,High Level,CA,58.52,-117.14,46.4,100,75,2.24,mist
210,Ribeira Grande,PT,38.52,-28.7,73.63,80,92,6.82,overcast clouds
211,Harper,LR,4.38,-7.72,75.45,89,89,10.42,light rain
212,Lebu,CL,-37.62,-73.65,43.97,76,100,6.35,overcast clouds
213,Lixourion,GR,38.2,20.43,75.2,88,0,13.87,clear sky
214,Faya,SA,18.39,42.45,73.4,28,0,6.93,clear sky
215,Atkinson,US,42.84,-71.15,66.0,100,1,4.63,clear sky
216,Longyearbyen,SJ,78.22,15.64,42.8,93,75,11.41,broken clouds
217,Kaitangata,NZ,-46.28,169.85,60.01,41,100,1.99,overcast clouds
218,Lyngdal,NO,58.14,7.07,60.01,83,11,15.99,few clouds
219,Mahon,ES,39.89,4.27,69.8,77,20,2.24,few clouds
220,Aleppo,SY,36.25,37.5,95.79,12,0,1.12,clear sky
221,Port Elizabeth,ZA,-33.92,25.57,50.0,93,5,5.82,clear sky
222,Rocha,UY,-34.48,-54.33,42.06,92,36,6.15,scattered clouds
223,Port Hardy,CA,50.7,-127.42,57.2,100,75,6.46,broken clouds
224,Meadow Lake,US,34.8,-106.54,81.0,22,1,21.92,clear sky
225,Seymchan,RU,62.88,152.43,55.9,43,43,2.62,scattered clouds
226,Herat,AF,34.5,62.0,84.2,20,0,5.82,clear sky
227,Airai,TL,-8.93,125.41,78.17,44,12,6.82,few clouds
228,Hualmay,PE,-11.1,-77.61,58.14,86,19,6.38,few clouds
229,Pangai,TO,-19.8,-174.35,71.6,73,75,10.29,broken clouds
230,Abu Samrah,SY,35.3,37.18,97.3,12,0,3.11,clear sky
